,Year ending March,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,Offence Subgroup Code,Offence Subgroup Name,Crime Severity,Severity Total Score
56,2018,3000,MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,48,D35,Improper movement on public or private space,4,192
58,2018,3000,MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,12,D32,Hoaxes,7,84
60,2018,3000,MELBOURNE,D Public order and security offences,D40 Public security offences,D49 Other public security offences,2,D49,Other public security offences,7,14
79,2018,3002,EAST MELBOURNE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,21,A232,Non-FV Common assault,10,210
81,2018,3002,EAST MELBOURNE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,15,A212,Non-FV Serious assault,10,150
87,2018,3002,EAST MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
88,2018,3002,EAST MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
90,2018,3002,EAST MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
91,2018,3002,EAST MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
110,2018,3002,EAST MELBOURNE,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
112,2018,3002,EAST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,D26,Disorderly conduct,5,10
114,2018,3002,EAST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3,D24,Offensive language,3,9
115,2018,3002,EAST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,9,D23,Offensive conduct,5,45
116,2018,3002,EAST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,35,D22,Drunk and disorderly in public,4,140
117,2018,3002,EAST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
118,2018,3002,EAST MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,12,D35,Improper movement on public or private space,4,48
119,2018,3002,EAST MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
126,2018,3003,WEST MELBOURNE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,18,A232,Non-FV Common assault,10,180
128,2018,3003,WEST MELBOURNE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,14,A212,Non-FV Serious assault,10,140
133,2018,3003,WEST MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
135,2018,3003,WEST MELBOURNE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
137,2018,3003,WEST MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,8,A89,Other dangerous or negligent acts endangering people,7,56
138,2018,3003,WEST MELBOURNE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,2,A83,Throw or discharge object endangering people,7,14
159,2018,3003,WEST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
160,2018,3003,WEST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,3,D23,Offensive conduct,5,15
161,2018,3003,WEST MELBOURNE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,18,D22,Drunk and disorderly in public,4,72
162,2018,3003,WEST MELBOURNE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6,D35,Improper movement on public or private space,4,24
171,2018,3006,SOUTH WHARF,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
172,2018,3006,SOUTH WHARF,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,5,A212,Non-FV Serious assault,10,50
175,2018,3006,SOUTH WHARF,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
190,2018,3006,SOUTH WHARF,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,9,D22,Drunk and disorderly in public,4,36
191,2018,3006,SOUTH WHARF,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
192,2018,3006,SOUTH WHARF,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
195,2018,3006,SOUTHBANK,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,98,A232,Non-FV Common assault,10,980
197,2018,3006,SOUTHBANK,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,91,A212,Non-FV Serious assault,10,910
202,2018,3006,SOUTHBANK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,9,A732,Non-FV Threatening behaviour,7,63
204,2018,3006,SOUTHBANK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
205,2018,3006,SOUTHBANK,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
207,2018,3006,SOUTHBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,14,A89,Other dangerous or negligent acts endangering people,7,98
208,2018,3006,SOUTHBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,7,A83,Throw or discharge object endangering people,7,49
209,2018,3006,SOUTHBANK,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,4,A81,Dangerous driving,7,28
237,2018,3006,SOUTHBANK,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,D26,Disorderly conduct,5,10
239,2018,3006,SOUTHBANK,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
240,2018,3006,SOUTHBANK,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,40,D23,Offensive conduct,5,200
241,2018,3006,SOUTHBANK,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,155,D22,Drunk and disorderly in public,4,620
242,2018,3006,SOUTHBANK,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,14,D21,Riot and affray,6,84
243,2018,3006,SOUTHBANK,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,7,D35,Improper movement on public or private space,4,28
255,2018,3008,DOCKLANDS,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,86,A232,Non-FV Common assault,10,860
257,2018,3008,DOCKLANDS,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,54,A212,Non-FV Serious assault,10,540
262,2018,3008,DOCKLANDS,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,13,A732,Non-FV Threatening behaviour,7,91
264,2018,3008,DOCKLANDS,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
265,2018,3008,DOCKLANDS,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,3,A712,Non-FV Stalking,10,30
267,2018,3008,DOCKLANDS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
268,2018,3008,DOCKLANDS,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,4,A83,Throw or discharge object endangering people,7,28
295,2018,3008,DOCKLANDS,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
298,2018,3008,DOCKLANDS,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,3,D26,Disorderly conduct,5,15
300,2018,3008,DOCKLANDS,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,4,D24,Offensive language,3,12
301,2018,3008,DOCKLANDS,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,25,D23,Offensive conduct,5,125
302,2018,3008,DOCKLANDS,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,65,D22,Drunk and disorderly in public,4,260
303,2018,3008,DOCKLANDS,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,2,D21,Riot and affray,6,12
304,2018,3008,DOCKLANDS,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,7,D35,Improper movement on public or private space,4,28
306,2018,3008,DOCKLANDS,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,2,D32,Hoaxes,7,14
318,2018,3011,FOOTSCRAY,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,79,A232,Non-FV Common assault,10,790
320,2018,3011,FOOTSCRAY,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,75,A212,Non-FV Serious assault,10,750
325,2018,3011,FOOTSCRAY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,8,A732,Non-FV Threatening behaviour,7,56
327,2018,3011,FOOTSCRAY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,2,A722,Non-FV Harassment and private nuisance,8,16
328,2018,3011,FOOTSCRAY,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
330,2018,3011,FOOTSCRAY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
331,2018,3011,FOOTSCRAY,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,4,A83,Throw or discharge object endangering people,7,28
356,2018,3011,FOOTSCRAY,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,4,D26,Disorderly conduct,5,20
358,2018,3011,FOOTSCRAY,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,5,D24,Offensive language,3,15
359,2018,3011,FOOTSCRAY,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,17,D23,Offensive conduct,5,85
360,2018,3011,FOOTSCRAY,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,90,D22,Drunk and disorderly in public,4,360
361,2018,3011,FOOTSCRAY,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,3,D21,Riot and affray,6,18
362,2018,3011,FOOTSCRAY,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,5,D35,Improper movement on public or private space,4,20
363,2018,3011,FOOTSCRAY,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
377,2018,3011,SEDDON,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
379,2018,3011,SEDDON,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
381,2018,3011,SEDDON,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
400,2018,3011,SEDDON,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,1,D24,Offensive language,3,3
401,2018,3011,SEDDON,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,4,D22,Drunk and disorderly in public,4,16
402,2018,3011,SEDDON,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
408,2018,3012,BROOKLYN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
410,2018,3012,BROOKLYN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7,A212,Non-FV Serious assault,10,70
414,2018,3012,BROOKLYN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
416,2018,3012,BROOKLYN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3,A89,Other dangerous or negligent acts endangering people,7,21
417,2018,3012,BROOKLYN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
418,2018,3012,BROOKLYN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
434,2018,3012,BROOKLYN,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,1,D13,Explosives offences,6,6
438,2018,3012,BROOKLYN,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,8,D35,Improper movement on public or private space,4,32
444,2018,3012,FOOTSCRAY WEST,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,7,A232,Non-FV Common assault,10,70
446,2018,3012,FOOTSCRAY WEST,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,14,A212,Non-FV Serious assault,10,140
451,2018,3012,FOOTSCRAY WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,2,A732,Non-FV Threatening behaviour,7,14
452,2018,3012,FOOTSCRAY WEST,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
454,2018,3012,FOOTSCRAY WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,A83,Throw or discharge object endangering people,7,7
455,2018,3012,FOOTSCRAY WEST,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,2,A81,Dangerous driving,7,14
478,2018,3012,FOOTSCRAY WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
479,2018,3012,FOOTSCRAY WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,6,D22,Drunk and disorderly in public,4,24
480,2018,3012,FOOTSCRAY WEST,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
481,2018,3012,FOOTSCRAY WEST,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
489,2018,3012,KINGSVILLE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,3,A232,Non-FV Common assault,10,30
495,2018,3012,KINGSVILLE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
511,2018,3012,KINGSVILLE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
517,2018,3012,MAIDSTONE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
519,2018,3012,MAIDSTONE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,6,A212,Non-FV Serious assault,10,60
523,2018,3012,MAIDSTONE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
525,2018,3012,MAIDSTONE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
527,2018,3012,MAIDSTONE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,A89,Other dangerous or negligent acts endangering people,7,7
528,2018,3012,MAIDSTONE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,3,A81,Dangerous driving,7,21
550,2018,3012,MAIDSTONE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,4,D22,Drunk and disorderly in public,4,16
551,2018,3012,MAIDSTONE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,3,D35,Improper movement on public or private space,4,12
558,2018,3012,TOTTENHAM,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,4,A232,Non-FV Common assault,10,40
559,2018,3012,TOTTENHAM,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2,A212,Non-FV Serious assault,10,20
561,2018,3012,TOTTENHAM,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
562,2018,3012,TOTTENHAM,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
577,2018,3013,YARRAVILLE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,14,A232,Non-FV Common assault,10,140
579,2018,3013,YARRAVILLE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,9,A212,Non-FV Serious assault,10,90
584,2018,3013,YARRAVILLE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
586,2018,3013,YARRAVILLE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
587,2018,3013,YARRAVILLE,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,4,A712,Non-FV Stalking,10,40
589,2018,3013,YARRAVILLE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
590,2018,3013,YARRAVILLE,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1,A81,Dangerous driving,7,7
612,2018,3013,YARRAVILLE,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,5,D23,Offensive conduct,5,25
613,2018,3013,YARRAVILLE,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,6,D22,Drunk and disorderly in public,4,24
614,2018,3013,YARRAVILLE,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,D35,Improper movement on public or private space,4,4
621,2018,3015,KINGSVILLE SOUTH,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
627,2018,3015,NEWPORT,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,8,A232,Non-FV Common assault,10,80
629,2018,3015,NEWPORT,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,11,A212,Non-FV Serious assault,10,110
634,2018,3015,NEWPORT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,4,A732,Non-FV Threatening behaviour,7,28
637,2018,3015,NEWPORT,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
639,2018,3015,NEWPORT,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,5,A89,Other dangerous or negligent acts endangering people,7,35
661,2018,3015,NEWPORT,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,2,D26,Disorderly conduct,5,10
663,2018,3015,NEWPORT,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,2,D24,Offensive language,3,6
664,2018,3015,NEWPORT,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,3,D23,Offensive conduct,5,15
665,2018,3015,NEWPORT,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,6,D22,Drunk and disorderly in public,4,24
666,2018,3015,NEWPORT,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,10,D35,Improper movement on public or private space,4,40
677,2018,3015,SOUTH KINGSVILLE,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,A232,Non-FV Common assault,10,20
679,2018,3015,SOUTH KINGSVILLE,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,A212,Non-FV Serious assault,10,10
693,2018,3015,SPOTSWOOD,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,1,A232,Non-FV Common assault,10,10
695,2018,3015,SPOTSWOOD,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,4,A212,Non-FV Serious assault,10,40
701,2018,3015,SPOTSWOOD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
702,2018,3015,SPOTSWOOD,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1,A712,Non-FV Stalking,10,10
719,2018,3015,SPOTSWOOD,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,2,D13,Explosives offences,6,12
722,2018,3015,SPOTSWOOD,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1,D23,Offensive conduct,5,5
723,2018,3015,SPOTSWOOD,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,2,D22,Drunk and disorderly in public,4,8
724,2018,3015,SPOTSWOOD,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,2,D35,Improper movement on public or private space,4,8
728,2018,3016,WILLIAMSTOWN,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,18,A232,Non-FV Common assault,10,180
730,2018,3016,WILLIAMSTOWN,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,18,A212,Non-FV Serious assault,10,180
734,2018,3016,WILLIAMSTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,7,A732,Non-FV Threatening behaviour,7,49
736,2018,3016,WILLIAMSTOWN,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
738,2018,3016,WILLIAMSTOWN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,2,A89,Other dangerous or negligent acts endangering people,7,14
739,2018,3016,WILLIAMSTOWN,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,3,A83,Throw or discharge object endangering people,7,21
760,2018,3016,WILLIAMSTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,3,D24,Offensive language,3,9
761,2018,3016,WILLIAMSTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,6,D23,Offensive conduct,5,30
762,2018,3016,WILLIAMSTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,19,D22,Drunk and disorderly in public,4,76
763,2018,3016,WILLIAMSTOWN,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,1,D21,Riot and affray,6,6
764,2018,3016,WILLIAMSTOWN,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,6,D35,Improper movement on public or private space,4,24
766,2018,3016,WILLIAMSTOWN,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
776,2018,3016,WILLIAMSTOWN NORTH,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,4,A212,Non-FV Serious assault,10,40
800,2018,3016,WILLIAMSTOWN NORTH,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,3,D22,Drunk and disorderly in public,4,12
801,2018,3016,WILLIAMSTOWN NORTH,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,1,D32,Hoaxes,7,7
805,2018,3018,ALTONA,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,11,A232,Non-FV Common assault,10,110
807,2018,3018,ALTONA,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,10,A212,Non-FV Serious assault,10,100
812,2018,3018,ALTONA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,A732,Non-FV Threatening behaviour,7,7
814,2018,3018,ALTONA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1,A722,Non-FV Harassment and private nuisance,8,8
816,2018,3018,ALTONA,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,2,A712,Non-FV Stalking,10,20
